"","samplingYear","CharacteristicName","AnnualMedian","AnnualMean","AnnualCount","AnnualSD","Annuallower_ci","Annualupper_ci","site","Park"
"525","2015","Temperature, water",16.8,15.73,10,8.09,9.94,21.52,"NFQC","PRWI"
"526","2016","Salinity",0.04,0.04,11,NA,NA,NA,"NFQC","PRWI"
"527","2016","Specific conductance",87.95,92.93,11,NA,NA,NA,"NFQC","PRWI"
"528","2016","Temperature, water",16,15.36,11,NA,NA,NA,"NFQC","PRWI"
"529","2017","Salinity",0.04,0.05,16,0.02,0.04,0.06,"NFQC","PRWI"
"530","2017","Specific conductance",96.15,102.52,16,36.15,83.25,121.78,"NFQC","PRWI"
"531","2017","Temperature, water",7.85,11.53,16,6.64,8,15.07,"NFQC","PRWI"
"532","2018","Salinity",0.04,0.04,24,0.01,0.04,0.05,"NFQC","PRWI"
"533","2018","Specific conductance",89.9,93.97,24,19.03,85.94,102.01,"NFQC","PRWI"
"534","2018","Temperature, water",18.35,15.26,24,8.53,11.66,18.86,"NFQC","PRWI"
"535","2019","Salinity",0.04,0.06,12,0.04,0.03,0.08,"NFQC","PRWI"
"536","2019","Specific conductance",79.7,119.87,12,79.33,69.46,170.27,"NFQC","PRWI"
"537","2019","Temperature, water",16.6,15.27,12,7.18,10.71,19.83,"NFQC","PRWI"
"538","2020","Salinity",0.03,0.03,9,NA,NA,NA,"NFQC","PRWI"
"539","2020","Specific conductance",74.7,73.92,9,NA,NA,NA,"NFQC","PRWI"
"540","2020","Temperature, water",6.7,9.25,9,NA,NA,NA,"NFQC","PRWI"
"541","2021","Salinity",0.03,0.05,15,0.03,0.03,0.07,"NFQC","PRWI"
"542","2021","Specific conductance",73.2,107.45,15,61.63,73.33,141.58,"NFQC","PRWI"
"543","2021","Temperature, water",13.7,13.93,15,9.1,8.89,18.97,"NFQC","PRWI"
"544","2022","Salinity",0.04,0.04,13,0.01,0.04,0.05,"NFQC","PRWI"
"545","2022","Specific conductance",91.3,94.23,13,23.75,79.88,108.58,"NFQC","PRWI"
"546","2022","Temperature, water",13.9,14.67,13,8.74,9.39,19.95,"NFQC","PRWI"
"547","2023","Salinity",0.04,0.04,8,0.01,0.03,0.04,"NFQC","PRWI"
"548","2023","Specific conductance",76.7,70.95,8,13.99,59.26,82.64,"NFQC","PRWI"
"549","2023","Temperature, water",19.05,16.27,8,7.98,9.6,22.95,"NFQC","PRWI"
"550","2005","Salinity",0.03,0.02,7,0.02,0.01,0.04,"SFQC","PRWI"
"551","2005","Specific conductance",60.8,55.65,11,13.55,46.55,64.76,"SFQC","PRWI"
"552","2005","Temperature, water",24.4,15.94,11,10.69,8.75,23.12,"SFQC","PRWI"
"553","2006","Salinity",0,0.01,28,0.02,0.01,0.02,"SFQC","PRWI"
"554","2006","Specific conductance",57.55,57.9,28,4.87,56.02,59.79,"SFQC","PRWI"
"555","2006","Temperature, water",9.15,12.26,28,7.18,9.48,15.05,"SFQC","PRWI"
"556","2007","Salinity",0,0.01,40,0.02,0,0.01,"SFQC","PRWI"
"557","2007","Specific conductance",65.82,65.25,40,10.43,61.91,68.58,"SFQC","PRWI"
"558","2007","Temperature, water",16.8,15.11,40,5.04,13.5,16.72,"SFQC","PRWI"
"559","2008","Salinity",0,0.01,40,0.01,0,0.01,"SFQC","PRWI"
"560","2008","Specific conductance",61.25,59.96,40,4.99,58.37,61.56,"SFQC","PRWI"
"561","2008","Temperature, water",17.52,16.49,40,7.09,14.22,18.76,"SFQC","PRWI"
"562","2009","Salinity",0.03,0.03,19,0,0.03,0.03,"SFQC","PRWI"
"563","2009","Specific conductance",65.6,65.92,17,4.23,63.75,68.1,"SFQC","PRWI"
